#Feature, Description
fraud_bool, Fraud label (1 if fraud;0 if legitimate)
income, Annual income of the applicant in qualities
name_email_similarity, Metric of similarity between email and applicant’s name. Higher values represent higher similarity. 
prev_address_months_count, Number of months in previous registered address of the applicant.
current_address_months_count, Months in currently registered address of the applicant.
customer_age, Applicant’s age in bins per decade (e.g, 20-29 is represented as 20).
days_since_request, Number of days passed since application was done. 
intended_balcon_amount, Initial transferred amount for application.
payment_type, Credit payment plan type. 5 possible (annonymized) values.
zip_count_4w, Number of applications within same zip code in last 4 weeks.
velocity_6h, Velocity of total applications made in last 6 hours.
velocity_24h, Velocity of total applications made in last 24 hours.
velocity_4w, Velocity of total applications made in last 4 weeks.
bank_branch_count_8w, Number of total applications in the selected bank branch in last 8 weeks.
date_of_birth_distinct_emails_4w, Number of emails for applicants with same date of birth in last 4 weeks.
employment_status, Employment status of the applicant.
credit_risk_score, Internal score of application risk.
email_is_free, Domain of application email (either free or paid).
housing_status, Current residential status for applicant.
phone_home_valid, Validity of provided home phone.
phone_mobile_valid, Validity of provided mobile phone.
bank_months_count, How old is previous account (if held) in months.
has_other_cards, If applicant has other cards from the same banking company.
proposed_credit_limit, Applicant’s proposed credit limit.
foreign_request, If origin country of request is different from bank’s country.
source, Online source of application. Either browser(INTERNET) or mobile app (APP).
session_length_in_minutes, Length of user session in banking website in minutes.
device_os, Operative system of device that made request.
keep_alive_session, User option on session logout.
device_distinct_emails_8w, Number of distinct emails in banking website from the used device in last 8 weeks.
device_fraud_count, Number of fraudulent applications with used device.
month, Month where the application was made.
